Race,"Adams County, IN","Allen County, IN","Bartholomew County, IN","Benton County, IN","Blackford County, IN","Boone County, IN","Brown County, IN","Carroll County, IN","Cass County, IN","Clark County, IN","Clay County, IN","Clinton County, IN","Crawford County, IN","Daviess County, IN","Dearborn County, IN","Decatur County, IN","DeKalb County, IN","Delaware County, IN","Dubois County, IN","Elkhart County, IN","Fayette County, IN","Floyd County, IN","Fountain County, IN","Franklin County, IN","Fulton County, IN","Gibson County, IN","Grant County, IN","Greene County, IN","Hamilton County, IN","Hancock County, IN","Harrison County, IN","Hendricks County, IN","Henry County, IN","Howard County, IN","Huntington County, IN","Jackson County, IN","Jasper County, IN","Jay County, IN","Jefferson County, IN","Jennings County, IN","Johnson County, IN","Knox County, IN","Kosciusko County, IN","LaGrange County, IN","Lake County, IN","LaPorte County, IN","Lawrence County, IN","Madison County, IN","Marion County, IN","Marshall County, IN","Martin County, IN","Miami County, IN","Monroe County, IN","Montgomery County, IN","Morgan County, IN","Newton County, IN","Noble County, IN","Ohio County, IN","Orange County, IN","Owen County, IN","Parke County, IN","Perry County, IN","Pike County, IN","Porter County, IN","Posey County, IN","Pulaski County, IN","Putnam County, IN","Randolph County, IN","Ripley County, IN","Rush County, IN","St. Joseph County, IN","Scott County, IN","Shelby County, IN","Spencer County, IN","Starke County, IN","Steuben County, IN","Sullivan County, IN","Switzerland County, IN","Tippecanoe County, IN","Tipton County, IN","Union County, IN","Vanderburgh County, IN","Vermillion County, IN","Vigo County, IN","Wabash County, IN","Warren County, IN","Warrick County, IN","Washington County, IN","Wayne County, IN","Wells County, IN","White County, IN","Whitley County, IN"
Colville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7
Cree,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creek,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
Crow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,26,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iroquois,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,13,8,32,0,115,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Kiowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
